Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value,Additional information,Remove errors,Remove JK,pvalue <0.05,Filtered score,z-score,,,Mean,stdev
YJR043C,POL32,YAL002W,VPS8,,0.78945,0.05,0.89373,0.03,-0.09019,0.05,0.00007,,,,,,,,,#DIV/0!,#DIV/0!
YJR043C,POL32,YAL004W,YAL004W,,1.06469,0.033,1.03316,0.013,0.03035,0.033,0.00001,,,,,,,,,,
YJR043C,POL32,YAL005C,SSA1,,1.00335,0.02,0.99804,0.002,0.00454,0.02,0.00014,status=JK,,,,,,,,,
YJR043C,POL32,YAL007C,ERP2,,1.08398,0.003,1.03202,0.088,0.07,0.003,0,status=JK,,,,,,,,,
YJR043C,POL32,YAL008W,FUN14,,1.10922,0.033,1.00441,0.035,0.11246,0.033,0.00001,,,,,,,,,,
YJR043C,POL32,YAL010C,MDM10,,0.97997,0.035,0.8156,0.017,0.15867,0.035,0.00001,,,,,,,,,,
YJR043C,POL32,YAL011W,SWC3,,0.77081,0.015,0.98758,0.024,-0.21174,0.015,0.00012,status=JK,,,,,,,,,
YJR043C,POL32,YAL013W,DEP1,,0.61604,0.041,0.98598,0.031,-0.36716,0.041,0.00008,,,,,,,,,,
YJR043C,POL32,YAL014C,SYN8,,1.12323,0.015,1.06005,0.022,0.06144,0.015,0,,,,,,,,,,
YJR043C,POL32,YAL015C,NTG1,,0.95679,0.069,0.96503,0.038,-0.00884,0.069,0.0001,,,,,,,,,,
YJR043C,POL32,YAL017W,PSK1,,0.99618,0.042,1.02078,0.051,-0.02969,0.042,0.00002,,,,,,,,,,
YJR043C,POL32,YAL018C,YAL018C,,1.08998,0.035,1.0337,0.023,0.04948,0.035,0.00001,,,,,,,,,,
YJR043C,POL32,YAL019W,FUN30,,0.80799,0.032,0.92509,0.025,-0.11737,0.032,0.00002,,,,,,,,,,
YJR043C,POL32,YAL020C,ATS1,,0.98547,0.028,0.92078,0.038,0.06294,0.028,0.00001,,,,,,,,,,
YJR043C,POL32,YAL022C,FUN26,,0.98714,0.034,0.99177,0.031,-0.01595,0.034,0.00001,,,,,,,,,,
YJR043C,POL32,YAL023C,PMT2,,1.08732,0.036,1.12798,0.013,-0.03712,0.036,0.00001,,,,,,,,,,
YJR043C,POL32,YAL024C,LTE1,,0.55541,0.027,#NUM!,#NUM!,#NUM!,#NUM!,0.00003,,,,,,,,,,
