"","Query.ORF","Query.Name","Array.ORF","Array.Name","Array.annotation","Normalized.colony.size..EXPERIMENT.","Normalized.colony.std..dev...EXPERIMENT.","Normalized.colony.size..CONTROL.","Normalized.colony.std..dev...CONTROL.","Score","Score.stdev","p.Value","Additional.information"
"1","YNL268W","LYP1","YMR048W","CSM3",NA,"0.34177","0.002","1.02707","0.039","0","0.002","0.00001","status=JK"
"2","YNL268W","LYP1","YLR032W","RAD5",NA,"0.36886","0.069","0.86524","0.078","-0.50651","0.069","0.00177",""
"3","YNL268W","LYP1","YNL021W","HDA1",NA,"0.3701","0.034","0.87084","0.05","-0.5049","0.034","0.00021",""
"4","YNL268W","LYP1","YER151C","UBP3",NA,"0.35564","0.009","0.81011","0.063","0","0.009","0.00022","status=JK"
"5","YNL268W","LYP1","YHR041C","SRB2",NA,"0.1939","0.016","0.60934","0.017","-0.41686","0.016","0.00014",""
"6","YNL268W","LYP1","YIL095W","PRK1",NA,"0.26579","0.077","0.65348","0.011","-0.389","0.077","0.00613",""
"7","YNL268W","LYP1","YOL050C","YOL050C",NA,"0.45935","0.001","0.85122","0.06","0","0.001","0","status=JK"
"8","YNL268W","LYP1","YOL004W","SIN3",NA,"0.30133","0.011","0.68152","0.052","0","0.011","0.00045","status=JK"
"9","YNL268W","LYP1","YIL039W","TED1",NA,"0.63879","0.035","0.99873","0.01","-0.36276","0.035","0.00004",""
"10","YNL268W","LYP1","YOR309C","YOR309C",NA,"0.53163","0.044","0.85772","0.041","-0.32939","0.044","0.00016",""
"11","YNL268W","LYP1","YDR359C","EAF1",NA,"0.12633","0.018","0.45659","0.109","-0.32841","0.018","0.00076",""
"12","YNL268W","LYP1","YHR012W","VPS29",NA,"0.5252","0.016","0.8651","0.074","0","0.016","0.00031","status=JK"
"13","YNL268W","LYP1","YER095W","RAD51",NA,"0.453","0.036","0.7734","0.005","-0.32146","0.036","0.00014",""
"14","YNL268W","LYP1","YDR363W-A","SEM1",NA,"0.62269","0.089","0.94779","0.012","-0.31758","0.089","0.00078",""
"15","YNL268W","LYP1","YNR051C","BRE5",NA,"0.51298","0.022","0.80863","0.025","0","0.022","0.00063","status=JK"
"16","YNL268W","LYP1","YOR006C","TSR3",NA,"1.23076","0.064","1.54636","0.163","-0.28493","0.064","0.00004",""
"17","YNL268W","LYP1","YDL133C-A","RPL41B",NA,"0.76834","0.034","1.06143","0.022","0","0.034","0.00065","status=JK"
